               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086044,            0.039318,                   0,             0.25492,             0.13771,            0.095789,            0.041415,            0.054913,             0.02246,                   0,            0.070261,           0.0033043,           0.0033043
                   1,            0.056982,            0.020953,                   0,             0.37424,             0.38771,             0.32058,             0.12786,            0.052044,            0.018248,                   0,            0.039932,           0.0063091,           0.0063091
                   2,            0.052775,            0.017928,                   0,              0.4116,             0.50424,             0.37315,             0.12418,            0.051107,            0.016363,                   0,           0.0092737,           0.0089839,           0.0089839
                   3,            0.047243,            0.015934,                   0,             0.46685,             0.60478,             0.50715,             0.21353,            0.041025,            0.015484,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.041404,            0.014597,                   0,             0.56163,             0.67585,             0.63076,              0.2829,            0.032927,             0.01484,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.036788,            0.013325,                   0,             0.66491,             0.69703,             0.71783,             0.41314,            0.030811,            0.014089,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.034096,            0.012576,                   0,             0.74318,             0.70763,             0.76581,             0.41742,            0.029814,             0.01311,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.032002,             0.01118,                   0,             0.76899,             0.73729,             0.79864,             0.46103,             0.02631,            0.012829,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.029732,             0.01084,                   0,             0.74251,             0.73313,              0.7854,             0.53314,            0.023478,            0.012335,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.027221,            0.010941,                   0,             0.78046,             0.73729,             0.81325,             0.51931,            0.023066,            0.011715,                   0,             0.00604,             0.00604,             0.00604
                  10,             0.02575,            0.010314,                   0,             0.84345,             0.73052,             0.82479,             0.55303,            0.022064,            0.011158,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.025226,            0.009795,                   0,             0.76683,             0.78038,             0.83005,             0.57179,              0.0217,             0.01109,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.022934,            0.010094,                   0,              0.7875,             0.77119,                0.83,              0.5708,            0.021009,            0.010701,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.022644,           0.0092156,                   0,             0.82671,             0.76483,             0.84517,             0.62235,            0.019038,            0.010473,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.020952,            0.009164,                   0,             0.85148,             0.74092,             0.84209,             0.60604,            0.020314,            0.010374,                   0,            0.003565,            0.003565,            0.003565
                  15,             0.02069,           0.0091651,                   0,             0.80554,             0.79864,             0.85199,             0.61976,            0.018238,            0.010137,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.019287,           0.0085083,                   0,             0.80154,             0.80436,             0.85309,             0.63477,            0.017693,            0.010006,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.018928,           0.0084446,                   0,             0.86048,             0.75636,             0.85835,             0.64009,            0.016888,            0.009921,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.017535,            0.008639,                   0,             0.82611,             0.78508,             0.85691,             0.64788,            0.016758,           0.0097156,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.016824,           0.0082407,                   0,             0.86741,             0.76234,             0.86299,             0.64762,            0.016317,           0.0096574,                   0,             0.00109,             0.00109,             0.00109
